Institucio,Campana,Ubicacion,Direccion,lon,lat
,VIDRIO,PUNTO LIMPIO (PLAZA FILIPINAS),CANUMANQUI / ALONSO DE CAMARGO,-70.552499,-33.42239
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,PARQUE MONTEGRANDE,-70.548996,-33.406916
,DIARIO Y PAPEL,PUNTO LIMPIO,PARQUE MONTEGRANDE,-70.548996,-33.406916
,VIDRIO,PUNTO LIMPIO,PARQUE MONTEGRANDE,-70.548996,-33.406916
,BOTELLA DE PLASTICO PET NUM 1,PUNTO LIMPIO,CAMINO DEL OBSERVATORIO,-70.536965,-33.404121
,DIARIO Y PAPEL,PUNTO LIMPIO,CAMINO DEL OBSERVATORIO,-70.536965,-33.404121
,VIDRIO,PUNTO LIMPIO,CAMINO DEL OBSERVATORIO,-70.536965,-33.404121
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO JUMBO LA REINA,FRANCISCO BILBAO 8750,-70.540759,-33.428675
,DIARIO Y PAPEL,SUPERMERCADO JUMBO LA REINA,FRANCISCO BILBAO 8750,-70.540759,-33.428675
,VIDRIO,SUPERMERCADO JUMBO LA REINA,FRANCISCO BILBAO 8750,-70.540759,-33.428675
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO LA REINA,FRANCISCO BILBAO 8750,-70.540759,-33.428675
,DIARIO Y PAPEL,PARROQUIA SANTO TORIBIO,LA CAPITANIA 473,-70.570273,-33.413663
,DIARIO Y PAPEL,SUPERMERCADO UNIMARC VESPUCIO,APOQUINDO 4335,-70.585575,-33.41512
,VIDRIO,CONDOMINIO,CRISTOBAL COLON 7000,-70.557331,-33.41768
,VIDRIO,SUPERMERCADO UNIMARC MANQUEHUE,MANQUEHUE SUR 1700,-70.563998,-33.426458
,VIDRIO,PUNTO LIMPIO,PARQUE LOS DOMINICOS,-70.544417,-33.408574
,VIDRIO,SUPERMERCADO SANTA ISABEL,APOQUINDO 7200,-70.554416,-33.408141
,VIDRIO,SUPERMERCADO LIDER EXPRESS TOMAS MORO,TOMAS MORO 1590,-70.552819,-33.414566
,ENVASE DE TETRA PAK,SUPERMERCADO UNIMARC,MANQUEHUE SUR 1700,-70.564011,-33.42645
,DIARIO Y PAPEL,SUPERMERCADO LIDER,TOMAS MORO 1590,-70.55282,-33.414512
,VIDRIO,MUNICIPALIDAD LO BARNECHEA,SAN ENRIQUE / PASTOR FERNANDEZ,-70.493221,-33.363825
,VIDRIO,SUPERMERCADO LIDER (MALL LA DEHESA),LA DEHESA / EL RODEO,-70.520695,-33.353015
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER EXPRESS LA DEHESA,EL RODEO 12850,-70.520696,-33.353016
,DIARIO Y PAPEL,SUPERMERCADOS LIDER HIPER PUENTE NUEVO,LAS CONDES 12916,-70.512657,-33.370976
,DIARIO Y PAPEL,PARROQUIA MARIA MADRE DE LA MISERICORDIA,CAMINO REAL 4334,-70.55419,-33.337763
,DIARIO Y PAPEL,PARROQUIA SAGRADA FAMILA LAS PATAGUAS,PARQUE LAS PATAGUAS 11450,-70.532941,-33.350361
,DIARIO Y PAPEL,PARROQUIA SANTA TERESA,BERNARDO LARRAIN COTAPOS 11785,-70.527842,-33.337427
,VIDRIO,SUPERMERCADO LIDER EXPRESS LA DEHESA,EL RODEO 12850,-70.520696,-33.353016
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER PUENTE NUEVO,LAS CONDES 12916,-70.512657,-33.370973
,ENVASE DE TETRA PAK,SUPERMERCADO JUMBO LA DEHESA,LA DEHESA 1445,-70.51711,-33.358848
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER EXPRESS LA DEHESA,EL RODEO 12850,-70.520696,-33.353016
,VIDRIO,VIA PUBLICA,SAN ENRIQUE / PASTOR FERNANDEZ,-70.493221,-33.363825
,VIDRIO,ESSO,CAMINO LOS TRAPENSES 3515,-70.544561,-33.344193
,VIDRIO,VIA PUBLICA,LO BARNECHEA / LOS PATOS,-70.506229,-33.358871
,VIDRIO,SUPERMERCADO LA ESTRELLA,MIRAFLORES 242,-70.782969,-33.734398
,ENVASE DE TETRA PAK,SUPERMERCADO SAN FRANCISCO BUIN,SAN MARTIN 174,-70.735511,-33.731384
,VIDRIO,SUPERMERCADO LA ESTRELLA,MANUEL RODRIGUEZ / ERRAZURIZ,-70.739351,-33.729234
,VIDRIO,SUPERMERCADO SANTA ISABEL CALERA DE TANGO,CALERA DE TANGO / LONQUEN NORTE,-70.798844,-33.623387
,VIDRIO,SUPERMERCADO LA MEJOR SOLUCION,CALERA DE TANGO 593,-70.764353,-33.629363
,VIDRIO,SUPERMERCADO LIDER,AMERICO VESPUCIO 2500,-70.708707,-33.517823
,VIDRIO,SUPERMERCADO LIDER,AMERICO VESPUCIO 2701,-70.708483,-33.518529
,VIDRIO,VIA PUBLICA,FELIX MARGOZ / GABRIELA MISTRAL,-70.710449,-33.492253
